ID_run,pBlack,Time
1,100,"0,34"
2,77,"4,81"
3,58,"6,13"
4,41,"4,01"
5,83,"5,57"
6,100,"2,31"
7,100,"0,22"
8,100,"0,39"
9,100,"0,39"
10,66,"3,66"
11,100,"1,31"
12,93,"29,51"
13,92,"15,82"
14,63,"5,25"
15,88,"18,78"
16,79,"24,54"
17,92,"11,53"
18,100,"1,11"
19,94,"15,99"
20,100,"1,16"
21,86,"5,68"
22,76,"5,09"
23,77,"5,80"
24,94,"4,83"
25,71,"6,86"
26,82,"8,00"
27,74,"27,50"
28,79,"22,07"
29,87,"10,38"
30,99,"16,45"
31,88,"19,93"
32,0,"0,77"
33,0,"0,37"
34,0,"0,38"
35,0,"1,56"
